label,paraphrase,original
Блок директора по проектированию,"По поручению Департамента недр по Уральскому Федеральному округу (ФЕДЕРАЦИОННЫЕ ДЕЛА) в целях формирования доходов бюджета РФ от использования недр и разработки полезных ископаемых в Уральском Федеральном Округе (FEAR) в рамках реализации приоритетного государственного проекта ""Обеспечение недр"" в соответствии с Федеральным законом ""О недрах, геологии, лицензировании и геологии"" формируются перечень участков недра, предоставляемых в пользование для разведки, добычи и разведки полезных ископаемых по совмещенным лицензиям.

Я прошу Вас сформировать и отправить в отдел геологии, лицензирования и сертификации по [ЛОКАЦИОН] департамента по недрам Уральского федерального округа (ОРГАНИЗАЦИОН) Департамента недр и лицензированию по [ЛОКАТИНУ] Департамент по недровому законодательству (ОРГАНИЗАЦИОН), включая информацию о названии участка недра, координатах угловых точках системы ГСК (2011), а также схему расположения предлагаемых (предоставляемых) участков (участки).","[ORGANIZATION] ДЕПАРТАМЕНТ ПО НЕДРОПОЛЬЗОВАНИЮ ПО УРАЛЬСКОМУ ФЕДЕРАЛЬНОМУ ОКРУГУ ([ORGANIZATION]) Отдел геологии и лицензирования Департамента по недропользованию по Уральскому федеральному округу по [LOCATION] Тел. [CONTACT] доб.[OFFICE_NUMBER] E-mail: [CONTACT] [DATE_TIME] No [DOCUMENT_NUMBER] на No от [PERSON] представлении в [ORGANIZATION] предложений по лицензированию на [YEAR]-[YEAR] гг. по [RESOURCE_TYPES], [RESOURCE_TYPES] и [RESOURCE_TYPES] Руководителям предприятий Уважаемые коллеги! В целях формирования доходной части бюджета Российской Федерации в [YEAR] и [YEAR] гг. за счет предоставления в пользование новых участков недр для разведки и добычи полезных ископаемых, обеспечивающих реализацию приоритетных государственных проектов, формируются Перечень участков недр, предлагаемых для предоставления в пользование в [YEAR]-[YEAR] гг. для разведки и добычи полезных ископаемых, для геологического изучения недр, разведки и добычи полезных ископаемых, осуществляемых по совмещенной лицензии ([RESOURCE_TYPE], [RESOURCE_TYPE], [RESOURCE_TYPE]). Прошу Вас до [DATE_TIME] сформировать и направить в Отдел геологии и лицензирования по [LOCATION] Департамента по недропользованию по Уральскому федеральному округу ([ORGANIZATION]) свои предложения по лицензированию участков недр, расположенных на территории [LOCATION], включая информацию по наименованию участка недр, координатам угловых точек в системе ГСК-2011, с приложением схемы расположения предлагаемого (предлагаемых) участка (участков). [PERSON] [CONTACT]"
Блок директора по проектированию,"Благодарим Вас за то, что вы высоко цените сложившуюся ситуацию в отношениях между предприятиями [ОРГАНИЯ] и заинтересованы в предоставлении услуг внутреннего сервиса в 2025 году и последующих годах, а так же обращаемся к вам с просьбой учитывать индексацию цен на услуги внутренних сервисов в соответствии со следующими действующими договорами: * FINANCIAL_DATA; * DOCUSMENT NUMBEER от ""DATE TIME""; * ""DOCONTAT"" по формированию бизнес плана и заключению новых договоров.","[PERSON] Уважаемый [PERSON]! [ORGANIZATION] высоко ценит сложившиеся отношения между нашими предприятиями и заинтересовано в предоставлении геофизических услуг на объектах [ORGANIZATION]. Согласно письму [ORGANIZATION] от [DATE_TIME] No [DOCUMENT_NUMBER] о формировании бизнес-плана и СИП на 2025–2027 гг. просим Вас учесть индексацию расценок на услуги внутреннего сервиса на 2025 год в размере [FINANCIAL_DATA] при формировании бизнес-плана и заключении новых договоров на 2025 год и последующие годы, а также предлагаем Вам заключить дополнительные соглашения с индексацией расценок на 2025 год к следующим действующим договорам: * [DOCUMENT_NUMBER] от [DATE_TIME]; * [DOCUMENT_NUMBER] от [DATE_TIME]; * [DOCUMENT_NUMBER] от [DATE_TIME]; * [DOCUMENT_NUMBER] от [DATE_TIME]; * [DOCUMENT_NUMBER] от [DATE_TIME]. Надеемся на понимание, долгосрочное и взаимовыгодное сотрудничество. С уважением, [PERSON] [CONTACT]"
"Проект ""Новая нефть""","Уважаемые коллеги, в ответ на ваше письмо No DATE-TIME о том, что у вас есть замечания к техническому заданию и техническим требованиям [DoCUMENT_Numbner] и ТТЗ на ""СГДУ"" и ""ТЗ"" на ""УКЦ"" и Техническому заданию ""СГУ"" и ТД ""СГАДУ"", мы направили вам откорректированные технические задания и технические задания на ""ПРОЕКТ"" и ЛОКП.

""PERSONO"" - список рассылки ""Организация"" (Организаторы) [Организации"" (ОРГАНИЗАЦИОН) [ПОРСОНА] [ПРОСТИТИОН] [OGANISATIOn] ""PORSON"" [PROSION] (PERSANO) [PARSON], ""ПОРСИТИОН"" [ПОНТАКТ] [ОГАНИЯАТИОН].","[ORGANIZATION] [LOCATION] Тел.: [CONTACT] Факс: [CONTACT] [CONTACT] [ID] Исх. No [DOCUMENT_NUMBER] от [DATE_TIME] На No [DOCUMENT_NUMBER] от [DATE_TIME] По списку рассылки Корректировка ТЗ на УКЦ и ТЗ на СГДУ [OBJECT] Уважаемые коллеги! В ответ на Ваше письмо No [DOCUMENT_NUMBER] от [DATE_TIME] касательно наличия замечаний к техническим заданиям [DOCUMENT_NUMBER] ТЗ на СГДУ и [DOCUMENT_NUMBER] ТЗ на УКЦ и письмо No [DOCUMENT_NUMBER] от [DATE_TIME] касательно наличия замечаний к КД на СГДУ, направляем Вам для рассмотрения и согласования откорректированное техническое задание и КД на СГДУ и техническое задание на установку компрессорную центробежную [DOCUMENT_NUMBER] ГПА КС [OBJECT] с комментариями к замечаниям в формате ЛКП. Приложения: 1. [DOCUMENT_NUMBER] ТЗ, [DOCUMENT_NUMBER] ТЗ и ЛКП с комментариями – архив с файлами. [PERSON] Список рассылки: [ORGANIZATION] [POSITION] [PERSON] [CONTACT] [ORGANIZATION] [POSITION] [PERSON] [CONTACT] [ORGANIZATION] [POSITION] [PERSON] [CONTACT]"
"Проект ""Новая нефть""","В рамках разработки, производства и поставок агрегатов для объекта ""ОБЖЕКТ"" (ТК No ""DOKUMENT NUMBEER"" от DATE TIME) мы направляем Вам график разработки кД (в соответствии с ранее согласованным [ОБЖЕКТ] No ""Документ-НМБЕР"" от ""DATE-TIME"") (тт. No ""OBЖЕКТА"") (с датой) _(c датами), который ранее был согласован с ""ПЕРСОН"".","[ORGANIZATION] [ORGANIZATION] [LOCATION] Телефон/факс: [CONTACT] [ORGANIZATION] [PERSON] [CONTACT] Уважаемый [PERSON]! В рамках проектирования, изготовления и поставки агрегатов [FINANCIAL_DATA] для объекта [OBJECT] (ТТ No [DOCUMENT_NUMBER] от [DATE_TIME]), направляем в Ваш адрес график разработки КД (ранее согласован [ORGANIZATION] исх. No [DOCUMENT_NUMBER] от [DATE_TIME]) с уточнением в части наименования 3-го этапа выдачи. Приложение: Файл График разработки КД [FINANCIAL_DATA] _[DATE_TIME]_(с датами)_ ЭД. Главный конструктор [ORGANIZATION] [PERSON] Исп. [PERSON] тел. [CONTACT]"
"Проект ""Новая нефть""","Официальные письма [ОРГАНИЯТИЯ] [OGANИЯТИОН] [ОГАНИЗАЦИОН] от ""DATE-TIME"" Уважаемые руководители организаций! В соответствии с принятой повесткой дня, все сотрудники объединения будут в корпоративных отпусках в июле. Учитывая изложенное, прошу Вас учесть это обстоятельство и заранее планировать заказы и вывозить готовую продукцию.","[ORGANIZATION] [LOCATION] Исх. [DOCUMENT_NUMBER] от [DATE_TIME] Руководителям организаций Уважаемые господа! Настоящим письмом [ORGANIZATION] уведомляет Вас, что в соответствии с принятым решением, весь персонал объединения в июле [DATE_TIME] будет находиться в корпоративном отпуске. С учетом изложенного, прошу учесть данное обстоятельство и заблаговременно планировать размещение заказов и вывоз готовой продукции. Директор по коммерческим вопросам [PERSON] Исп. [PERSON] Тел. [CONTACT] ; [CONTACT] ; [CONTACT] ; [CONTACT]. Исполнено _Отп. [PERSON]_ В ДЕЛО No** _**исх. No, дата, подпись Вх. No [DOCUMENT_NUMBER] от [DATE_TIME]"
"Проект ""Новая нефть""","В связи с положительным опытом эксплуатации нагревательных элементов производства ""ОРГАНИАТИОН"" на предприятии ""ОРГАНИЯТИОН"", мы просим (на электронную почту ""ПЕРСОН"") повторно проинформировать нас о том, что в ""ОБЖЕКТ"" (на электронный адрес ""Персана"") (в соответствии с положительной оценкой опыта эксплуатации газового нагревателя производства ""ОрганиЗАЦИОН"" - ""ОБУМБЕР"") для [ОБЖЕКТ] - ""OBEGANIАTION"" по этому же адресу.","[ORGANIZATION] [ORGANIZATION] [LOCATION] [CONTACT] [DATE_TIME] No [DOCUMENT_NUMBER] [PERSON] [CONTACT] На исх. No [DOCUMENT_NUMBER] от [DATE_TIME] ([OBJECT] для [OBJECT]) Уважаемый [PERSON]! В виду положительного опыта эксплуатации нагревателей производства [ORGANIZATION] на [OBJECT] на [OBJECT] повторно просим согласовать применение в [OBJECT] [OBJECT] для [OBJECT] нагреватели газа производства [ORGANIZATION]. На вышеуказанные нагреватели направляем (на электронные адреса [CONTACT]) следующие документы: 1. декларация о соответствии [REGULATORY_DOCUMENT]; 2. сертификаты соответствия [REGULATORY_DOCUMENT], [REGULATORY_DOCUMENT]. [PERSON] [PERSON] [CONTACT] Лист [PAGE_NUMBER] Листов [PAGE_COUNT] Вх. No [DOCUMENT_NUMBER] от [DATE_TIME]"
"Проект ""Новая нефть""","Благодарим Вас за то, что в рамках реализации проекта ""Организация"" мы направили в ваш адрес корректировку исходных данных (габаритных чертежей) по арматуре динамического подмесителя (ДБ) (позиции ""ДБ"", поз. ""DOGANIATION"") и арматуре подмеси горячего газа для АПК, скорректированной в соответствии с ранее поступившими замечаниями в формате ""ЛКП"").","[ORGANIZATION] [ORGANIZATION] [OBJECT] [LOCATION] [DATE_TIME] [DOCUMENT_NUMBER] [PERSON] [PERSON] Уважаемый [PERSON]! В рамках реализации объекта [OBJECT] направляем в Ваш адрес скорректированные исходные данные (габаритные чертежи) на арматуру динамического байпаса (поз. [DOCUMENT_NUMBER]) и арматуру подмеса горячего газа перед АПК (поз. [DOCUMENT_NUMBER], поз. [DOCUMENT_NUMBER]), с учетом ранее направленных в [ORGANIZATION], замечаний в формате ЛКП. Просим Вас рассмотреть и согласовать прилагаемую документацию, либо направить Ваши замечания Приложения: 1. Информация по ДБ (поз. [DOCUMENT_NUMBER]) 2. Информация по КГП (поз. [DOCUMENT_NUMBER]) [PERSON] [PERSON] Тел. [CONTACT]"
"Проект ""Новая нефть""","В связи с вашим письмом No ""DOCOMENT NUMBEER"" от ""DATE-TIME"" о том, что у Вас есть замечания к техническому заданию и техническим требованиям к СГД и рекомендациям по установке компрессорной центрифуги [Document Numbeer] и ТУП, мы направили вам откорректированные технические задания и технические задания на СГАДУ, а также техническую документацию на СПГДУ и технические требования к установке компрессора ""СГДУ"" в формате ""ЛКП"".

""PERSSON"" - список рассылки ""Организация ORGАНIАТИОН"" (PROSON) [PROSION] (ПРОСТИТИНОН"") [ПОРСИНОН] [ПОНТАКТ] [OGANIAATEON"" [PONTACT] (PERSION) (POSINON] ) [ПОСТИТИОН] (PCON)] [CPOSITINOON] / PONTAKT] ""","[ORGANIZATION] [LOCATION] Тел.: [CONTACT] Факс: [CONTACT] [CONTACT] [ID] Исх. No [DOCUMENT_NUMBER] от [DATE_TIME] На No [DOCUMENT_NUMBER] от [DATE_TIME] По списку рассылки Корректировка ТЗ на УКЦ и ТЗ на СГДУ [OBJECT] Уважаемые коллеги! В ответ на Ваше письмо No [DOCUMENT_NUMBER] от [DATE_TIME] касательно наличия замечаний к техническим заданиям [DOCUMENT_NUMBER] ТЗ на СГДУ и [DOCUMENT_NUMBER] ТЗ на УКЦ и письмо No [DOCUMENT_NUMBER] от [DATE_TIME] касательно наличия замечаний к КД на СГДУ, направляем Вам для рассмотрения и согласования откорректированное техническое задание и КД на СГДУ и техническое задание на установку компрессорную центробежную [DOCUMENT_NUMBER] ГПА КС [OBJECT] с комментариями к замечаниям в формате ЛКП. Приложения: 1. [DOCUMENT_NUMBER] ТЗ, [DOCUMENT_NUMBER] ТЗ и ЛКП с комментариями – архив с файлами. [PERSON] Список рассылки: [ORGANIZATION] [POSITION] [PERSON] [CONTACT] [ORGANIZATION] [POSITION] [PERSON] [CONTACT] [ORGANIZATION] [POSITION] [PERSON] [CONTACT]"
"Проект ""Новая нефть""","При реализации объекта ""Организационно-строительная компания"" [ОРГАНИЗАЦИОННАЯ АКАДЕМИЯ] ""ПЕРСОН"" направляет вам исходную документацию (составной чертеж) для арматуры динамического мануфактора (позиции 52 - КШ 127) в адрес главного конструктора [ОБЖЕКТ].","[ORGANIZATION] [LOCATION] [DATE_TIME] [DOCUMENT_NUMBER] [PERSON] [PERSON] Уважаемый [PERSON]! В рамках реализации объекта [OBJECT] направляем в Ваш адрес исходные данные (сборочный чертеж) на арматуру динамического байпаса (поз. 52-КШ127). Просим Вас рассмотреть и согласовать прилагаемую документацию, либо направить Ваши замечания Приложение - [DOCUMENT_NUMBER] [OBJECT] Главный конструктор [ORGANIZATION] [PERSON] Исп.: [PERSON] Тел.[CONTACT]"
"Проект ""Новая нефть""","В рамках разработки, производства и поставки оборудования для объекта ""ФИНАНЦИЙАЦИОН"" (ТК No ""DACUMENT NUMBEER"" от ""DATE-TIME"") мы направляем Вам график разработки кД ""ФИНАНЦИЙОН"" [ФИНАНСИЙ DATA"" (тт. No ""PERSION"" от [DACT"") в адрес: [ПЕРСОН] (в соответствии с датами), который ранее был согласован с [ФИНАНТИОН].","[ORGANIZATION] [ORGANIZATION] [LOCATION] Телефон/факс: [CONTACT] [ORGANIZATION] [PERSON] [CONTACT] Уважаемый [PERSON]! В рамках проектирования, изготовления и поставки агрегатов [FINANCIAL_DATA] для объекта [OBJECT] (ТТ No [DOCUMENT_NUMBER] от [DATE_TIME]), направляем в Ваш адрес график разработки КД (ранее согласован [ORGANIZATION] исх. No [DOCUMENT_NUMBER] от [DATE_TIME]) с уточнением в части наименования 3-го этапа выдачи. Приложение: Файл График разработки КД [FINANCIAL_DATA] _[DATE_TIME]_(с датами)_ ЭД. Главный конструктор [ORGANIZATION] [PERSON] Исп. [PERSON] тел. [CONTACT]"
